compiler,program,opt,flag_id,sec_flags,compile_cmd,compile_ok,size_bytes,size_stripped_bytes,relro,canary,nx,pie,fortified,fortifiable,sha256,compile_stderr_tail
g++,suma,-O0,no_plt,-fno-plt,g++ /app/programs/suma.cpp -O0 -fno-plt -o results_csv/20260708-165104/bin/g++__suma__O0__no_plt,1,19024,14480,partial,no,yes,yes,0,1,fb4e70d8318add4a6dfa6645d05fd702472da8ec072128794b51e066b159a185,
g++,suma,-O0,asan,-fsanitize=address,g++ /app/programs/suma.cpp -O0 -fsanitize=address -o results_csv/20260708-165104/bin/g++__suma__O0__asan,1,33120,19032,partial,no,yes,yes,0,1,bc4232977c68b1068b3966d1b4633348c15d05903bda1a3ba091125c01323bbd,
g++,suma,-O0,ubsan,-fsanitize=undefined,g++ /app/programs/suma.cpp -O0 -fsanitize=undefined -o results_csv/20260708-165104/bin/g++__suma__O0__ubsan,1,31136,26424,partial,no,yes,yes,0,1,8630f8804bfb7b07b07e7e0252bf4d54c2e0d2323b44415013e7d6eee933dc92,
g++,suma,-O1,baseline,,g++ /app/programs/suma.cpp -O1 -o results_csv/20260708-165104/bin/g++__suma__O1__baseline,1,16312,14584,partial,no,yes,yes,0,1,724ffee7728fc6fb8fc0cc399b0937329cd1830fa4059962118a4d0e56d97f5f,
g++,suma,-O1,pie,-fPIE -pie,g++ /app/programs/suma.cpp -O1 -fPIE -pie -o results_csv/20260708-165104/bin/g++__suma__O1__pie,1,16312,14584,partial,no,yes,yes,0,1,724ffee7728fc6fb8fc0cc399b0937329cd1830fa4059962118a4d0e56d97f5f,
g++,suma,-O1,no_pie,-no-pie,g++ /app/programs/suma.cpp -O1 -no-pie -o results_csv/20260708-165104/bin/g++__suma__O1__no_pie,1,16136,14512,partial,no,yes,no,0,1,2c94e95b3fd40ec0f55e4b5b8370cea9a86bdb12bbedbc760ac41ccec8b0685f,
g++,suma,-O1,fortify1,-D_FORTIFY_SOURCE=1,g++ /app/programs/suma.cpp -O1 -D_FORTIFY_SOURCE=1 -o results_csv/20260708-165104/bin/g++__suma__O1__fortify1,1,16312,14584,partial,no,yes,yes,0,1,724ffee7728fc6fb8fc0cc399b0937329cd1830fa4059962118a4d0e56d97f5f,
g++,suma,-O1,fortify2,-D_FORTIFY_SOURCE=2,g++ /app/programs/suma.cpp -O1 -D_FORTIFY_SOURCE=2 -o results_csv/20260708-165104/bin/g++__suma__O1__fortify2,1,16320,14584,partial,no,yes,yes,1,1,4367fa3d22ef782813fa227cf2464b8644133254e793b39bd959a5c82e49d348,
g++,suma,-O1,fortify_off,-U_FORTIFY_SOURCE,g++ /app/programs/suma.cpp -O1 -U_FORTIFY_SOURCE -o results_csv/20260708-165104/bin/g++__suma__O1__fortify_off,1,16312,14584,partial,no,yes,yes,0,1,724ffee7728fc6fb8fc0cc399b0937329cd1830fa4059962118a4d0e56d97f5f,
g++,suma,-O1,noexecstack,-z noexecstack,g++ /app/programs/suma.cpp -O1 -z noexecstack -o results_csv/20260708-165104/bin/g++__suma__O1__noexecstack,1,16312,14584,partial,no,yes,yes,0,1,724ffee7728fc6fb8fc0cc399b0937329cd1830fa4059962118a4d0e56d97f5f,
g++,suma,-O1,execstack,-z execstack,g++ /app/programs/suma.cpp -O1 -z execstack -o results_csv/20260708-165104/bin/g++__suma__O1__execstack,1,16312,14584,partial,no,no,yes,0,1,633fe2d87da9a50c0c15ba0c4e40fe6c89ba03d729db0c616940d66434910621,
g++,suma,-O1,relro_full,"-Wl,-z,relro,-z,now","g++ /app/programs/suma.cpp -O1 -Wl,-z,relro,-z,now -o results_csv/20260708-165104/bin/g++__suma__O1__relro_full",1,16208,14480,full,no,yes,yes,0,1,62e61f45bde5f2bb137344fbf21fe62472af54490d81dcd2092e13625225d47d,
g++,suma,-O1,no_stack_protector,-fno-stack-protector,g++ /app/programs/suma.cpp -O1 -fno-stack-protector -o results_csv/20260708-165104/bin/g++__suma__O1__no_stack_protector,1,16312,14584,partial,no,yes,yes,0,1,724ffee7728fc6fb8fc0cc399b0937329cd1830fa4059962118a4d0e56d97f5f,
g++,suma,-O1,stack_protector,-fstack-protector,g++ /app/programs/suma.cpp -O1 -fstack-protector -o results_csv/20260708-165104/bin/g++__suma__O1__stack_protector,1,16312,14584,partial,no,yes,yes,0,1,724ffee7728fc6fb8fc0cc399b0937329cd1830fa4059962118a4d0e56d97f5f,
g++,suma,-O1,stack_protector_strong,-fstack-protector-strong,g++ /app/programs/suma.cpp -O1 -fstack-protector-strong -o results_csv/20260708-165104/bin/g++__suma__O1__stack_protector_strong,1,16312,14584,partial,no,yes,yes,0,1,724ffee7728fc6fb8fc0cc399b0937329cd1830fa4059962118a4d0e56d97f5f,
g++,suma,-O1,stack_protector_all,-fstack-protector-all,g++ /app/programs/suma.cpp -O1 -fstack-protector-all -o results_csv/20260708-165104/bin/g++__suma__O1__stack_protector_all,1,16368,14592,partial,yes,yes,yes,0,1,de89d04d1638c55412d55baf5a8d144920766f746fab39d0a3b18f7801181795,
g++,suma,-O1,no_plt,-fno-plt,g++ /app/programs/suma.cpp -O1 -fno-plt -o results_csv/20260708-165104/bin/g++__suma__O1__no_plt,1,16208,14480,partial,no,yes,yes,0,1,efc825cccc4991f0416ef5df17ed29cbfdbce6f8a0c43238b1a5cec74cec40a3,
g++,suma,-O1,asan,-fsanitize=address,g++ /app/programs/suma.cpp -O1 -fsanitize=address -o results_csv/20260708-165104/bin/g++__suma__O1__asan,1,26064,14840,partial,no,yes,yes,0,1,f3f744eee41cfc9f5c39437cd4ff280d32f8e88fe3d4bba7c7213d5c46956123,
g++,suma,-O1,ubsan,-fsanitize=undefined,g++ /app/programs/suma.cpp -O1 -fsanitize=undefined -o results_csv/20260708-165104/bin/g++__suma__O1__ubsan,1,23616,21448,partial,no,yes,yes,0,1,ba076a0710a0e60f1e44ffcafb255156e5c7fcc8fdd7bfdd455043b31cf459e9,
g++,suma,-O2,baseline,,g++ /app/programs/suma.cpp -O2 -o results_csv/20260708-165104/bin/g++__suma__O2__baseline,1,16456,14584,partial,no,yes,yes,0,1,52ce72a2bb70cb6e393303c60071e1fa5afd0b80ff7813fe3bc593a5e619c79d,
g++,suma,-O2,pie,-fPIE -pie,g++ /app/programs/suma.cpp -O2 -fPIE -pie -o results_csv/20260708-165104/bin/g++__suma__O2__pie,1,16456,14584,partial,no,yes,yes,0,1,52ce72a2bb70cb6e393303c60071e1fa5afd0b80ff7813fe3bc593a5e619c79d,
g++,suma,-O2,no_pie,-no-pie,g++ /app/programs/suma.cpp -O2 -no-pie -o results_csv/20260708-165104/bin/g++__suma__O2__no_pie,1,16280,14512,partial,no,yes,no,0,1,2cdc9e62e991c5843914d099c0049473191a6dec5bc7934f070a1bfa7eee7d3c,
g++,suma,-O2,fortify1,-D_FORTIFY_SOURCE=1,g++ /app/programs/suma.cpp -O2 -D_FORTIFY_SOURCE=1 -o results_csv/20260708-165104/bin/g++__suma__O2__fortify1,1,16456,14584,partial,no,yes,yes,0,1,52ce72a2bb70cb6e393303c60071e1fa5afd0b80ff7813fe3bc593a5e619c79d,
g++,suma,-O2,fortify2,-D_FORTIFY_SOURCE=2,g++ /app/programs/suma.cpp -O2 -D_FORTIFY_SOURCE=2 -o results_csv/20260708-165104/bin/g++__suma__O2__fortify2,1,16464,14584,partial,no,yes,yes,1,1,3f6507f07bd0312d08f29765bb8a43119a58a6e0bb6cf8d90965558c8ba1fc61,
g++,suma,-O2,fortify_off,-U_FORTIFY_SOURCE,g++ /app/programs/suma.cpp -O2 -U_FORTIFY_SOURCE -o results_csv/20260708-165104/bin/g++__suma__O2__fortify_off,1,16456,14584,partial,no,yes,yes,0,1,52ce72a2bb70cb6e393303c60071e1fa5afd0b80ff7813fe3bc593a5e619c79d,
g++,suma,-O2,noexecstack,-z noexecstack,g++ /app/programs/suma.cpp -O2 -z noexecstack -o results_csv/20260708-165104/bin/g++__suma__O2__noexecstack,1,16456,14584,partial,no,yes,yes,0,1,52ce72a2bb70cb6e393303c60071e1fa5afd0b80ff7813fe3bc593a5e619c79d,
g++,suma,-O2,execstack,-z execstack,g++ /app/programs/suma.cpp -O2 -z execstack -o results_csv/20260708-165104/bin/g++__suma__O2__execstack,1,16456,14584,partial,no,no,yes,0,1,de8a8186682a0a535f83d19145c4e98a22221e6fda71e766b086d58f453f2b8a,
g++,suma,-O2,relro_full,"-Wl,-z,relro,-z,now","g++ /app/programs/suma.cpp -O2 -Wl,-z,relro,-z,now -o results_csv/20260708-165104/bin/g++__suma__O2__relro_full",1,16352,14480,full,no,yes,yes,0,1,66d1ae39b2595019020c0cb0c9299d4b19eaa1bffef51899ccee4fc62802f9b4,
g++,suma,-O2,no_stack_protector,-fno-stack-protector,g++ /app/programs/suma.cpp -O2 -fno-stack-protector -o results_csv/20260708-165104/bin/g++__suma__O2__no_stack_protector,1,16456,14584,partial,no,yes,yes,0,1,52ce72a2bb70cb6e393303c60071e1fa5afd0b80ff7813fe3bc593a5e619c79d,
g++,suma,-O2,stack_protector,-fstack-protector,g++ /app/programs/suma.cpp -O2 -fstack-protector -o results_csv/20260708-165104/bin/g++__suma__O2__stack_protector,1,16456,14584,partial,no,yes,yes,0,1,52ce72a2bb70cb6e393303c60071e1fa5afd0b80ff7813fe3bc593a5e619c79d,
g++,suma,-O2,stack_protector_strong,-fstack-protector-strong,g++ /app/programs/suma.cpp -O2 -fstack-protector-strong -o results_csv/20260708-165104/bin/g++__suma__O2__stack_protector_strong,1,16520,14592,partial,yes,yes,yes,0,1,693378d217ab94af62b294eec2ff1ed7b3cda6c79b8040ac708ca35f7fa0365a,
g++,suma,-O2,stack_protector_all,-fstack-protector-all,g++ /app/programs/suma.cpp -O2 -fstack-protector-all -o results_csv/20260708-165104/bin/g++__suma__O2__stack_protector_all,1,16520,14592,partial,yes,yes,yes,0,1,edc792cf12238309d7cd5c11e56c9a86ecefa677fbdea38576030c64cc8e329b,
g++,suma,-O2,no_plt,-fno-plt,g++ /app/programs/suma.cpp -O2 -fno-plt -o results_csv/20260708-165104/bin/g++__suma__O2__no_plt,1,16352,14480,partial,no,yes,yes,0,1,7253cc53e9ff0beb3f5d98e61fafa9509343c78e6dbaadf04c18a65a5a365ac3,
g++,suma,-O2,asan,-fsanitize=address,g++ /app/programs/suma.cpp -O2 -fsanitize=address -o results_csv/20260708-165104/bin/g++__suma__O2__asan,1,26208,14840,partial,no,yes,yes,0,1,56c67696a4828bd1299b52e68cc2945c1a445b235cddb60b0b5e64e2ed816e71,
g++,suma,-O2,ubsan,-fsanitize=undefined,g++ /app/programs/suma.cpp -O2 -fsanitize=undefined -o results_csv/20260708-165104/bin/g++__suma__O2__ubsan,1,24032,21832,partial,no,yes,yes,0,1,283fe3219da80491fb1a10c802ecb1eff9385768dfe03ec3ef5842db51cd4ebb,
g++,suma,-O3,baseline,,g++ /app/programs/suma.cpp -O3 -o results_csv/20260708-165104/bin/g++__suma__O3__baseline,1,16344,14584,partial,no,yes,yes,0,1,192f8d0036b9b4edd8dfc89aa0afcded6ee4ec496178b0236aff823e5fb1ce98,
g++,suma,-O3,pie,-fPIE -pie,g++ /app/programs/suma.cpp -O3 -fPIE -pie -o results_csv/20260708-165104/bin/g++__suma__O3__pie,1,16344,14584,partial,no,yes,yes,0,1,192f8d0036b9b4edd8dfc89aa0afcded6ee4ec496178b0236aff823e5fb1ce98,
g++,suma,-O3,no_pie,-no-pie,g++ /app/programs/suma.cpp -O3 -no-pie -o results_csv/20260708-165104/bin/g++__suma__O3__no_pie,1,16168,14512,partial,no,yes,no,0,1,74254197675570d9b9bf76713697ad30fd26979c51c92e1d74cd9941961b9444,
g++,suma,-O3,fortify1,-D_FORTIFY_SOURCE=1,g++ /app/programs/suma.cpp -O3 -D_FORTIFY_SOURCE=1 -o results_csv/20260708-165104/bin/g++__suma__O3__fortify1,1,16344,14584,partial,no,yes,yes,0,1,192f8d0036b9b4edd8dfc89aa0afcded6ee4ec496178b0236aff823e5fb1ce98,
g++,suma,-O3,fortify2,-D_FORTIFY_SOURCE=2,g++ /app/programs/suma.cpp -O3 -D_FORTIFY_SOURCE=2 -o results_csv/20260708-165104/bin/g++__suma__O3__fortify2,1,16352,14584,partial,no,yes,yes,1,1,f1ef2ed603bc0762e7a40388cc1b75fa0524fc5096048cfd86d5fc347ff7d53a,
g++,suma,-O3,fortify_off,-U_FORTIFY_SOURCE,g++ /app/programs/suma.cpp -O3 -U_FORTIFY_SOURCE -o results_csv/20260708-165104/bin/g++__suma__O3__fortify_off,1,16344,14584,partial,no,yes,yes,0,1,192f8d0036b9b4edd8dfc89aa0afcded6ee4ec496178b0236aff823e5fb1ce98,
g++,suma,-O3,noexecstack,-z noexecstack,g++ /app/programs/suma.cpp -O3 -z noexecstack -o results_csv/20260708-165104/bin/g++__suma__O3__noexecstack,1,16344,14584,partial,no,yes,yes,0,1,192f8d0036b9b4edd8dfc89aa0afcded6ee4ec496178b0236aff823e5fb1ce98,
g++,suma,-O3,execstack,-z execstack,g++ /app/programs/suma.cpp -O3 -z execstack -o results_csv/20260708-165104/bin/g++__suma__O3__execstack,1,16344,14584,partial,no,no,yes,0,1,49c27099ac382ed89ca0ca43171e28851da47c9d28ac265ccaa1c22bc0339cf1,
g++,suma,-O3,relro_full,"-Wl,-z,relro,-z,now","g++ /app/programs/suma.cpp -O3 -Wl,-z,relro,-z,now -o results_csv/20260708-165104/bin/g++__suma__O3__relro_full",1,16240,14480,full,no,yes,yes,0,1,7377d472599dcbadcffbb92b4e127207a699ff172243851be056459365637716,
g++,suma,-O3,no_stack_protector,-fno-stack-protector,g++ /app/programs/suma.cpp -O3 -fno-stack-protector -o results_csv/20260708-165104/bin/g++__suma__O3__no_stack_protector,1,16344,14584,partial,no,yes,yes,0,1,192f8d0036b9b4edd8dfc89aa0afcded6ee4ec496178b0236aff823e5fb1ce98,
g++,suma,-O3,stack_protector,-fstack-protector,g++ /app/programs/suma.cpp -O3 -fstack-protector -o results_csv/20260708-165104/bin/g++__suma__O3__stack_protector,1,16344,14584,partial,no,yes,yes,0,1,192f8d0036b9b4edd8dfc89aa0afcded6ee4ec496178b0236aff823e5fb1ce98,
g++,suma,-O3,stack_protector_strong,-fstack-protector-strong,g++ /app/programs/suma.cpp -O3 -fstack-protector-strong -o results_csv/20260708-165104/bin/g++__suma__O3__stack_protector_strong,1,16344,14584,partial,no,yes,yes,0,1,192f8d0036b9b4edd8dfc89aa0afcded6ee4ec496178b0236aff823e5fb1ce98,
g++,suma,-O3,stack_protector_all,-fstack-protector-all,g++ /app/programs/suma.cpp -O3 -fstack-protector-all -o results_csv/20260708-165104/bin/g++__suma__O3__stack_protector_all,1,16408,14592,partial,yes,yes,yes,0,1,9160cdc0ad8f276fcde512c92af68ae4c666a15835121799e63ee157ce251118,
g++,suma,-O3,no_plt,-fno-plt,g++ /app/programs/suma.cpp -O3 -fno-plt -o results_csv/20260708-165104/bin/g++__suma__O3__no_plt,1,16240,14480,partial,no,yes,yes,0,1,11fbfd5c066d8629c37a175837d2d5477e6d7fc03610622fbc5501032386b731,
g++,suma,-O3,asan,-fsanitize=address,g++ /app/programs/suma.cpp -O3 -fsanitize=address -o results_csv/20260708-165104/bin/g++__suma__O3__asan,1,26096,14840,partial,no,yes,yes,0,1,023bce5eeb1b6b29e9f07058f7d688b08df35e579d1fa14fd2596f141dfa82b3,
g++,suma,-O3,ubsan,-fsanitize=undefined,g++ /app/programs/suma.cpp -O3 -fsanitize=undefined -o results_csv/20260708-165104/bin/g++__suma__O3__ubsan,1,17712,15688,partial,no,yes,yes,0,1,a7da671537b88f1ad26c84daefdc46c782d2425fc14c0ccb0f2036a2ed136705,
g++,suma,-Os,baseline,,g++ /app/programs/suma.cpp -Os -o results_csv/20260708-165104/bin/g++__suma__Os__baseline,1,16424,14584,partial,no,yes,yes,0,1,9287be693b6321641d0e3cba6de1273abbb278c901353386585b473e69272df3,
g++,suma,-Os,pie,-fPIE -pie,g++ /app/programs/suma.cpp -Os -fPIE -pie -o results_csv/20260708-165104/bin/g++__suma__Os__pie,1,16424,14584,partial,no,yes,yes,0,1,9287be693b6321641d0e3cba6de1273abbb278c901353386585b473e69272df3,
g++,suma,-Os,no_pie,-no-pie,g++ /app/programs/suma.cpp -Os -no-pie -o results_csv/20260708-165104/bin/g++__suma__Os__no_pie,1,16248,14512,partial,no,yes,no,0,1,dcaeb0093ca73a94c3676d416b8b2b0e5ae5905c6829385d949ab2d3664f84f0,
g++,suma,-Os,fortify1,-D_FORTIFY_SOURCE=1,g++ /app/programs/suma.cpp -Os -D_FORTIFY_SOURCE=1 -o results_csv/20260708-165104/bin/g++__suma__Os__fortify1,1,16424,14584,partial,no,yes,yes,0,1,9287be693b6321641d0e3cba6de1273abbb278c901353386585b473e69272df3,
g++,suma,-Os,fortify2,-D_FORTIFY_SOURCE=2,g++ /app/programs/suma.cpp -Os -D_FORTIFY_SOURCE=2 -o results_csv/20260708-165104/bin/g++__suma__Os__fortify2,1,16432,14584,partial,no,yes,yes,1,1,0caa25e99c5feb2383b3ec5a46a1e4ec4d5bb91b82cd84d270758f9bfb640f44,
g++,suma,-Os,fortify_off,-U_FORTIFY_SOURCE,g++ /app/programs/suma.cpp -Os -U_FORTIFY_SOURCE -o results_csv/20260708-165104/bin/g++__suma__Os__fortify_off,1,16424,14584,partial,no,yes,yes,0,1,9287be693b6321641d0e3cba6de1273abbb278c901353386585b473e69272df3,
g++,suma,-Os,noexecstack,-z noexecstack,g++ /app/programs/suma.cpp -Os -z noexecstack -o results_csv/20260708-165104/bin/g++__suma__Os__noexecstack,1,16424,14584,partial,no,yes,yes,0,1,9287be693b6321641d0e3cba6de1273abbb278c901353386585b473e69272df3,
g++,suma,-Os,execstack,-z execstack,g++ /app/programs/suma.cpp -Os -z execstack -o results_csv/20260708-165104/bin/g++__suma__Os__execstack,1,16424,14584,partial,no,no,yes,0,1,c0821fe81e264862dbdf9407dcdec8ed60b23995d72d93a1828652ce70a3e75b,
g++,suma,-Os,relro_full,"-Wl,-z,relro,-z,now","g++ /app/programs/suma.cpp -Os -Wl,-z,relro,-z,now -o results_csv/20260708-165104/bin/g++__suma__Os__relro_full",1,16320,14480,full,no,yes,yes,0,1,fe71349fe766a7425749c1e3edc4c4fbec0fefe785f4a4c01d587e336e30e5a9,
g++,suma,-Os,no_stack_protector,-fno-stack-protector,g++ /app/programs/suma.cpp -Os -fno-stack-protector -o results_csv/20260708-165104/bin/g++__suma__Os__no_stack_protector,1,16424,14584,partial,no,yes,yes,0,1,9287be693b6321641d0e3cba6de1273abbb278c901353386585b473e69272df3,
g++,suma,-Os,stack_protector,-fstack-protector,g++ /app/programs/suma.cpp -Os -fstack-protector -o results_csv/20260708-165104/bin/g++__suma__Os__stack_protector,1,16424,14584,partial,no,yes,yes,0,1,9287be693b6321641d0e3cba6de1273abbb278c901353386585b473e69272df3,
g++,suma,-Os,stack_protector_strong,-fstack-protector-strong,g++ /app/programs/suma.cpp -Os -fstack-protector-strong -o results_csv/20260708-165104/bin/g++__suma__Os__stack_protector_strong,1,16480,14592,partial,yes,yes,yes,0,1,bf4d57ddca0c79b7fc0a0f89450bac34ff2bfea8a3e2d8466733ed064d6d7ffd,
g++,suma,-Os,stack_protector_all,-fstack-protector-all,g++ /app/programs/suma.cpp -Os -fstack-protector-all -o results_csv/20260708-165104/bin/g++__suma__Os__stack_protector_all,1,16480,14592,partial,yes,yes,yes,0,1,ace251c84a3a7d7c56b89ac4711066ecb0d1a632caf273c7bb0d6e08a25728dd,
g++,suma,-Os,no_plt,-fno-plt,g++ /app/programs/suma.cpp -Os -fno-plt -o results_csv/20260708-165104/bin/g++__suma__Os__no_plt,1,16320,14480,partial,no,yes,yes,0,1,4ede4074bf181037d588c80c35954fd7efe38d513ef77c91ee0fb31cd13f849d,
g++,suma,-Os,asan,-fsanitize=address,g++ /app/programs/suma.cpp -Os -fsanitize=address -o results_csv/20260708-165104/bin/g++__suma__Os__asan,1,26176,14840,partial,no,yes,yes,0,1,eca5f66d2a00d983c5657967ca165293d4582fc24889b7e377a60762f2684ae0,
g++,suma,-Os,ubsan,-fsanitize=undefined,g++ /app/programs/suma.cpp -Os -fsanitize=undefined -o results_csv/20260708-165104/bin/g++__suma__Os__ubsan,1,17680,15688,partial,no,yes,yes,0,1,455121fa0459f2cb3ed69deaebac8d17286dc069798fba078752733d5915ca72,
g++,final,-O0,baseline,,g++ /app/programs/final.cpp -O0 -o results_csv/20260708-165104/bin/g++__final__O0__baseline,1,16168,14560,partial,no,yes,yes,0,2,32d8ba9221d580ad1214decc841a32ad1c14b31a265b98f43e4a88a3d29c0e46,
g++,final,-O0,pie,-fPIE -pie,g++ /app/programs/final.cpp -O0 -fPIE -pie -o results_csv/20260708-165104/bin/g++__final__O0__pie,1,16168,14560,partial,no,yes,yes,0,2,32d8ba9221d580ad1214decc841a32ad1c14b31a265b98f43e4a88a3d29c0e46,
g++,final,-O0,no_pie,-no-pie,g++ /app/programs/final.cpp -O0 -no-pie -o results_csv/20260708-165104/bin/g++__final__O0__no_pie,1,15992,14496,partial,no,yes,no,0,2,f54a9b72e082b8f00d1d9b9819e8599c8ef93620ec209d9b5360dcc5d7b2a919,
g++,final,-O0,fortify1,-D_FORTIFY_SOURCE=1,g++ /app/programs/final.cpp -O0 -D_FORTIFY_SOURCE=1 -o results_csv/20260708-165104/bin/g++__final__O0__fortify1,1,16168,14560,partial,no,yes,yes,0,2,32d8ba9221d580ad1214decc841a32ad1c14b31a265b98f43e4a88a3d29c0e46,
g++,final,-O0,fortify2,-D_FORTIFY_SOURCE=2,g++ /app/programs/final.cpp -O0 -D_FORTIFY_SOURCE=2 -o results_csv/20260708-165104/bin/g++__final__O0__fortify2,1,16168,14560,partial,no,yes,yes,0,2,32d8ba9221d580ad1214decc841a32ad1c14b31a265b98f43e4a88a3d29c0e46,
g++,final,-O0,fortify_off,-U_FORTIFY_SOURCE,g++ /app/programs/final.cpp -O0 -U_FORTIFY_SOURCE -o results_csv/20260708-165104/bin/g++__final__O0__fortify_off,1,16168,14560,partial,no,yes,yes,0,2,32d8ba9221d580ad1214decc841a32ad1c14b31a265b98f43e4a88a3d29c0e46,
g++,final,-O0,noexecstack,-z noexecstack,g++ /app/programs/final.cpp -O0 -z noexecstack -o results_csv/20260708-165104/bin/g++__final__O0__noexecstack,1,16168,14560,partial,no,yes,yes,0,2,32d8ba9221d580ad1214decc841a32ad1c14b31a265b98f43e4a88a3d29c0e46,
g++,final,-O0,execstack,-z execstack,g++ /app/programs/final.cpp -O0 -z execstack -o results_csv/20260708-165104/bin/g++__final__O0__execstack,1,16168,14560,partial,no,no,yes,0,2,f4747f3cd8b39ba913d30d1906f8b589a6e62ed71af0002e7be23bc1d43c1ebb,
g++,final,-O0,relro_full,"-Wl,-z,relro,-z,now","g++ /app/programs/final.cpp -O0 -Wl,-z,relro,-z,now -o results_csv/20260708-165104/bin/g++__final__O0__relro_full",1,16072,14464,full,no,yes,yes,0,2,27ec592d7d43764fda4f0fff4bce78108ddd8775e0d9db957acd4dab8e4dba5f,
g++,final,-O0,no_stack_protector,-fno-stack-protector,g++ /app/programs/final.cpp -O0 -fno-stack-protector -o results_csv/20260708-165104/bin/g++__final__O0__no_stack_protector,1,16168,14560,partial,no,yes,yes,0,2,32d8ba9221d580ad1214decc841a32ad1c14b31a265b98f43e4a88a3d29c0e46,
